date,equity,regime
2023-07-03,100000.0,Bull-Trending
2023-07-05,99993.67,Bull-Trending
2023-07-06,99986.88,Bull-Trending
2023-07-07,100001.14,Bull-Trending
2023-07-10,99988.25,Bull-Trending
2023-07-11,99996.65,Bull-Trending
2023-07-12,100064.07,Bull-Trending
2023-07-13,100148.03,Bull-Trending
2023-07-14,100153.75,Bull-Trending
2023-07-17,100163.06,Bull-Trending
2023-07-18,100190.94,Bull-Trending
2023-07-19,100185.24,Bull-Trending
2023-07-20,100156.69,Bull-Trending
2023-07-21,100054.18,Bull-Trending
2023-07-24,100081.47,Bull-Trending
2023-07-25,100175.06,Bull-Trending
2023-07-26,100153.78,Bull-Trending
2023-07-27,100177.84,Bull-Trending
2023-07-28,100280.1,Bull-Trending
2023-07-31,100279.16,Bull-Trending
2023-08-01,100263.13,Bull-Trending
2023-08-02,100101.55,Bull-Trending
2023-08-03,100112.88,Bull-Trending
2023-08-04,100112.88,Bull-Trending
2023-08-07,100112.88,Bull-Trending
2023-08-08,100112.88,Bull-Trending
2023-08-09,100112.88,Bull-Trending
2023-08-10,100112.88,Bull-Trending
2023-08-11,100112.88,Bull-Trending
2023-08-14,100108.38,Bull-Trending
2023-08-15,100114.0,Bear-Trending
2023-08-16,100054.08,Bear-Trending
2023-08-17,100000.9,Bear-Trending
2023-08-18,99982.82,Bear-Trending
2023-08-21,100278.02,Bear-Trending
2023-08-22,100225.77,Bear-Trending
2023-08-23,100349.88,Bear-Trending
2023-08-24,100277.49,Bear-Trending
2023-08-25,100284.99,Bear-Trending
2023-08-28,100346.83,Bear-Trending
2023-08-29,100585.01,Bull-Trending
2023-08-30,100635.56,Bull-Trending
2023-08-31,100646.55,Bull-Trending
2023-09-01,100557.6,Bull-Trending
2023-09-05,100626.56,Bull-Trending
2023-09-06,100480.71,Bear-Trending
2023-09-07,100389.7,Bear-Trending
2023-09-08,100360.76,Bear-Trending
2023-09-11,100478.34,Bull-Trending
2023-09-12,100388.36,Bear-Trending
2023-09-13,100441.62,Bear-Trending
2023-09-14,100492.22,Bull-Trending
2023-09-15,100350.52,Bear-Trending
2023-09-18,100329.16,Bear-Trending
2023-09-19,100314.24,Bear-Trending
2023-09-20,100172.19,Bear-Trending
2023-09-21,100048.42,Bear-Trending
2023-09-22,100029.79,Bear-Trending
2023-09-25,100084.04,Bear-Trending
2023-09-26,100000.69,Bear-Trending
2023-09-27,100009.42,Bear-Trending
2023-09-28,100078.99,Bear-Trending
2023-09-29,100126.71,Bear-Trending
2023-10-02,100239.96,Bear-Trending
2023-10-03,100101.98,Bear-Trending
2023-10-04,100227.21,Bear-Trending
2023-10-05,100265.87,Bear-Trending
2023-10-06,100372.06,Bear-Trending
2023-10-09,100383.17,Bear-Trending
2023-10-10,100431.03,Bear-Trending
2023-10-11,100458.72,Bear-Trending
2023-10-12,100456.44,Bear-Trending
2023-10-13,100417.42,Bear-Trending
2023-10-16,100477.81,Bear-Trending
2023-10-17,100346.13,Bear-Trending
2023-10-18,100224.26,Bear-Trending
2023-10-19,100211.14,Bear-Trending
2023-10-20,100128.32,Bear-Trending
2023-10-23,100226.68,Bear-Trending
2023-10-24,100280.05,Bear-Trending
2023-10-25,100170.55,Bear-Trending
2023-10-26,100007.62,Bear-Trending
2023-10-27,100042.64,Bear-Trending
2023-10-30,100075.92,Bear-Trending
2023-10-31,100081.92,Bear-Trending
2023-11-01,100249.15,Bear-Trending
2023-11-02,100419.34,Bear-Trending
2023-11-03,100512.76,Bull-Trending
2023-11-06,100564.74,Bull-Trending
2023-11-07,100604.73,Bull-Trending
2023-11-08,100644.22,Bull-Trending
2023-11-09,100603.0,Bull-Trending
2023-11-10,100720.03,Bull-Trending
2023-11-13,100753.64,Bull-Trending
2023-11-14,100849.79,Bull-Trending
2023-11-15,100879.96,Bull-Trending
2023-11-16,100845.24,Bull-Trending
2023-11-17,100848.74,Bull-Trending
2023-11-20,100873.46,Bull-Trending
2023-11-21,100887.11,Bull-Trending
2023-11-22,100889.94,Bull-Trending
2023-11-24,100873.48,Bull-Trending
2023-11-27,100872.42,Bull-Trending
2023-11-28,100936.94,Bull-Trending
2023-11-29,100915.06,Bull-Trending
2023-11-30,100887.66,Bull-Trending
2023-12-01,100896.92,Bull-Trending
2023-12-05,100875.07,Bull-Trending
2023-12-06,100818.62,Bull-Trending
2023-12-07,100924.03,Bull-Trending
2023-12-08,100982.38,Bull-Trending
2023-12-11,100951.76,Bull-Trending
2023-12-12,101006.41,Bull-Trending
2023-12-13,101091.5,Bull-Trending
2023-12-14,101129.29,Bull-Trending
2023-12-15,101180.47,Bull-Trending
2023-12-18,101215.89,Bull-Trending
2023-12-19,101260.04,Bull-Trending
2023-12-20,101184.46,Bull-Trending
2023-12-21,101266.0,Bull-Trending
2023-12-22,101251.26,Bull-Trending
2023-12-26,101268.14,Bull-Trending
2023-12-27,101290.61,Bull-Trending
2023-12-28,101256.15,Bull-Trending
2023-12-29,101229.36,Bull-Trending
2024-01-02,101161.77,Bull-Trending
2024-01-03,101025.07,Bull-Trending
2024-01-04,101001.27,Bull-Trending
2024-01-05,101057.23,Bull-Trending
2024-01-08,101373.1,Bull-Trending
2024-01-09,101402.4,Bull-Trending
2024-01-10,101516.6,Bull-Trending
2024-01-11,101519.81,Bull-Trending
2024-01-12,101488.03,Bull-Trending
2024-01-16,101571.75,Bull-Trending
2024-01-17,101499.62,Bull-Trending
2024-01-18,101648.05,Bull-Trending
2024-01-19,101896.55,Bull-Trending
2024-01-22,101900.06,Bull-Trending
2024-01-23,101939.42,Bull-Trending
2024-01-24,102047.35,Bull-Trending
2024-01-25,101940.57,Bull-Trending
2024-01-26,101910.43,Bull-Trending
2024-01-29,102037.77,Bull-Trending
2024-01-30,102046.6,Bull-Trending
2024-01-31,101947.64,Bull-Trending
2024-02-01,102092.88,Bull-Trending
2024-02-02,102320.41,Bull-Trending
2024-02-07,102551.19,Bull-Trending
2024-02-08,102537.27,Bull-Trending
2024-02-09,102698.55,Bull-Trending
