date,ticker,action,proba,regime,weight,price,shares
2023-07-05,NVDA,BUY,0.6279,Bull-Trending,0.151,42.33,35.6782
2023-07-05,AAPL,BUY,0.5661,Bull-Trending,0.1654,189.05,8.7499
2023-07-06,AAPL,SELL,0.4432,Bull-Trending,0.1215,189.14,8.7499
2023-07-10,MSFT,BUY,0.5689,Bull-Trending,0.0689,325.19,2.1177
2023-07-11,AAPL,BUY,0.7509,Bull-Trending,0.0473,185.84,2.5464
2023-07-13,NVDA,SELL,0.3864,Bull-Trending,0.292,45.9,35.6782
2023-07-20,NVDA,BUY,0.688,Bull-Trending,0.3284,45.53,72.2565
2023-07-21,QQQ,BUY,0.5819,Bull-Trending,0.2115,369.96,5.7263
2023-07-21,MSFT,SELL,0.3927,Bull-Trending,0.1664,336.21,2.1177
2023-07-28,QQQ,SELL,0.3752,Bull-Trending,0.3158,376.94,5.7263
2023-07-31,AAPL,SELL,0.4114,Bull-Trending,0.0407,193.72,2.5464
2023-08-03,NVDA,SELL,0.3244,Bull-Trending,0.302,44.44,72.2565
2023-08-14,NVDA,BUY,0.6151,Bull-Trending,0.2251,43.76,51.4904
2023-08-15,TSLA,BUY,0.5671,Bear-Trending,0.1,233.19,4.2929
2023-08-15,AAPL,BUY,0.669,Bear-Trending,0.1,175.57,5.7019
2023-08-17,QQQ,BUY,0.8512,Bear-Trending,0.1,353.17,2.8331
2023-08-17,MSFT,BUY,0.5876,Bear-Trending,0.1,311.19,3.2152
2023-08-21,MSFT,SELL,0.3809,Bear-Trending,0.1,315.47,3.2152
2023-08-23,MSFT,BUY,0.5608,Bear-Trending,0.1,321.13,3.121
2023-08-23,AAPL,SELL,0.4261,Bear-Trending,0.1,178.84,5.7019
2023-08-24,AAPL,BUY,0.6215,Bear-Trending,0.1,174.51,5.7503
2023-10-04,TSLA,SELL,0.3102,Bear-Trending,0.5,260.9,4.2929
2023-10-06,NVDA,SELL,0.4141,Bear-Trending,0.0929,45.68,51.4904
2023-10-09,NVDA,BUY,0.6668,Bear-Trending,0.5206,45.29,115.3881
2023-10-10,NVDA,SELL,0.4095,Bear-Trending,0.2596,45.72,115.3881
2023-10-13,NVDA,BUY,0.6589,Bear-Trending,0.247,45.47,54.5579
2023-10-26,TSLA,BUY,0.6012,Bear-Trending,0.1,205.97,4.8635
2023-11-02,MSFT,SELL,0.4434,Bear-Trending,0.4021,341.39,3.121
2023-11-03,QQQ,SELL,0.3262,Bull-Trending,0.0658,361.96,2.8331
2023-11-10,NVDA,SELL,0.4465,Bull-Trending,0.1991,48.25,54.5579
2023-11-13,QQQ,BUY,0.6576,Bull-Trending,0.0669,372.05,1.8116
2023-11-21,MSFT,BUY,0.657,Bull-Trending,0.2445,367.12,6.7179
2023-11-22,QQQ,SELL,0.4164,Bull-Trending,0.3753,383.96,1.8116
2023-11-24,QQQ,BUY,0.5693,Bull-Trending,0.3525,384.18,9.2557
2023-11-24,MSFT,SELL,0.3583,Bull-Trending,0.1,370.67,6.7179
2023-11-30,NVDA,BUY,0.7485,Bull-Trending,0.1,46.78,21.5704
2023-12-01,MSFT,BUY,0.5616,Bull-Trending,0.1,368.54,2.7375
2023-12-18,NVDA,SELL,0.3324,Bull-Trending,0.0422,50.0,21.5704
2023-12-19,QQQ,SELL,0.4129,Bull-Trending,0.3585,403.56,9.2557
2023-12-20,QQQ,BUY,0.6131,Bull-Trending,0.3333,398.36,8.4731
2023-12-20,NVDA,BUY,0.551,Bull-Trending,0.0342,48.13,7.1961
2023-12-21,QQQ,SELL,0.2777,Bull-Trending,0.3627,402.19,8.4731
2023-12-22,NVDA,SELL,0.3099,Bull-Trending,0.1024,48.75,7.1961
