ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,pnl_pct,days_held,regime,weight
AAPL,2023-07-05,2023-07-06,189.05,189.14,8.7499,0.7875,0.000476,1,Bull-Trending,0.1654
AAPL,2023-07-11,2023-07-31,185.84,193.72,2.5464,20.0656,0.042402,20,Bull-Trending,0.0473
AAPL,2023-08-15,2023-08-23,175.57,178.84,5.7019,18.6452,0.018625,8,Bear-Trending,0.1
AAPL,2023-08-24,2024-01-22,174.51,191.7,5.7503,98.8477,0.098504,151,Bear-Trending,0.1
AAPL,2024-01-29,2024-06-04,189.95,192.67,1.449,3.9413,0.01432,127,Bull-Trending,0.027
AAPL,2024-06-11,2024-07-12,205.77,228.54,12.1784,277.3022,0.110658,31,Bull-Trending,0.2402
AAPL,2024-09-16,2024-10-28,215.12,231.64,4.9257,81.3726,0.076794,42,Bull-Trending,0.1
AAPL,2024-10-30,2024-12-12,228.83,246.37,23.2659,408.0839,0.076651,43,Bull-Trending,0.5
AAPL,2024-12-16,2024-12-20,249.93,252.85,16.4384,48.0001,0.011683,4,Bull-Trending,0.379
AAPL,2024-12-30,2025-01-07,251.08,240.65,11.9702,-124.8492,-0.041541,8,Bear-Trending,0.2761
AAPL,2025-01-16,2025-02-13,227.25,240.24,4.8122,62.5105,0.057162,28,Bear-Trending,0.1
AAPL,2025-02-20,2025-02-28,245.01,240.55,23.1275,-103.1486,-0.018203,8,Bull-Trending,0.516
AAPL,2025-03-12,2025-03-25,216.25,222.56,25.3337,159.8556,0.029179,13,Bear-Trending,0.5
MSFT,2023-07-10,2023-07-21,325.19,336.21,2.1177,23.3371,0.033888,11,Bull-Trending,0.0689
MSFT,2023-08-17,2023-08-21,311.19,315.47,3.2152,13.7611,0.013754,4,Bear-Trending,0.1
MSFT,2023-08-23,2023-11-02,321.13,341.39,3.121,63.2315,0.06309,71,Bear-Trending,0.1
MSFT,2023-11-21,2023-11-24,367.12,370.67,6.7179,23.8485,0.00967,3,Bull-Trending,0.2445
MSFT,2023-12-01,2024-01-30,368.54,401.27,2.7375,89.5984,0.08881,60,Bull-Trending,0.1
MSFT,2024-01-31,2024-02-07,391.24,406.63,7.1644,110.2601,0.039336,7,Bull-Trending,0.2747
MSFT,2024-02-27,2024-03-21,401.72,422.46,2.5466,52.8165,0.051628,23,Bull-Trending,0.0993
MSFT,2024-03-22,2024-03-25,422.68,416.05,7.9067,-52.4214,-0.015686,3,Bull-Trending,0.3225
MSFT,2024-04-03,2024-04-12,414.51,415.11,17.295,10.377,0.001447,9,Bull-Trending,0.6917
MSFT,2024-04-19,2024-06-12,393.48,434.74,2.6287,108.4602,0.104859,54,Bear-Trending,0.1
MSFT,2024-06-28,2024-07-05,441.43,460.86,2.3722,46.0918,0.044016,7,Bull-Trending,0.1
MSFT,2024-08-06,2024-08-13,394.67,408.08,3.5393,47.462,0.033978,7,Bear-Trending,0.1324
MSFT,2024-09-04,2024-09-11,404.58,417.73,4.9712,65.3713,0.032503,7,Bull-Trending,0.1901
